Sample_id,Population
NA19449,LWK
NA20321,ASW
NA19747,MXL
NA19197,YRI
NA19031,LWK
HG01988,ACB
HG02253,PEL
HG02256,ACB
HG00554,PUR
HG00641,PUR
HG03294,ESN
HG01967,PEL
NA19451,LWK
NA18923,YRI
HG03280,ESN
HG03124,ESN
NA19661,MXL
HG01896,ACB
NA20901,GIH
HG03114,ESN
HG02702,GWD
HG03583,MSL
NA20881,GIH
NA19026,LWK
NA19378,LWK
NA20870,GIH
HG01997,PEL
NA20846,GIH
HG03401,MSL
HG02624,GWD
HG02763,GWD
NA19700,ASW
NA18876,YRI
HG01980,PEL
HG01061,PUR
NA21128,GIH
NA20911,GIH
HG01257,CLM
HG01110,PUR
NA18934,YRI
HG01893,PEL
HG01305,PUR
HG02836,GWD
NA20896,GIH
HG01142,CLM
HG03571,MSL
NA19904,ASW
HG02819,GWD
HG02769,GWD
NA21095,GIH
HG02820,GWD
HG02536,ACB
NA20876,GIH
NA19201,YRI
HG03096,MSL
NA20908,GIH
HG03095,MSL
HG03265,ESN
HG02337,ACB
HG02759,GWD
HG01121,CLM
NA21137,GIH
HG01197,PUR
NA20850,GIH
HG02582,GWD
NA21142,GIH
HG02090,PEL
HG02301,PEL
HG02760,GWD
NA20127,ASW
HG01468,CLM
HG03129,ESN
NA19755,MXL
HG01271,CLM
HG02635,GWD
HG03343,ESN
NA18910,YRI
HG03108,ESN
NA18867,YRI
HG03160,ESN
HG01989,ACB
NA18915,YRI
HG03139,ESN
HG03198,ESN
NA19474,LWK
HG01357,CLM
HG03511,ESN
HG02502,ACB
NA19703,ASW
HG02470,ACB
NA19327,LWK
NA19835,ASW
HG01067,PUR
HG01431,CLM
HG01968,PEL
HG02278,PEL
NA19430,LWK
NA19204,YRI
HG02973,ESN
NA19468,LWK
NA19160,YRI
HG02860,GWD
NA19651,MXL
NA19248,YRI
HG03271,ESN
HG01131,CLM
HG03258,GWD
NA20332,ASW
NA18874,YRI
HG01977,PEL
NA19315,LWK
HG02285,PEL
HG02588,GWD
HG01920,PEL
HG01944,PEL
NA18502,YRI
NA20851,GIH
HG02275,PEL
HG02497,ACB
NA21112,GIH
NA20904,GIH
HG01970,PEL
HG03470,MSL
HG03300,ESN
HG01140,CLM
HG01200,PUR
HG02757,GWD
HG01073,PUR
NA19024,LWK
HG01986,ACB
HG01879,ACB
HG02885,GWD
NA18865,YRI
NA19209,YRI
HG01164,PUR
HG01176,PUR
HG02646,GWD
HG01173,PUR
HG03048,GWD
HG03085,MSL
NA19678,MXL
NA19321,LWK
HG02807,GWD
HG02771,GWD
NA19982,ASW
HG02455,ACB
NA19214,YRI
HG00640,PUR
HG02283,ACB
NA20318,ASW
HG01254,CLM
HG01241,PUR
NA19669,MXL
NA19172,YRI
HG02291,PEL
HG03100,ESN
HG03072,MSL
HG01124,CLM
HG02095,ACB
HG03442,MSL
HG02002,PEL
NA20281,ASW
HG01948,PEL
HG02798,GWD
HG01372,CLM
NA20884,GIH
HG02839,GWD
NA19324,LWK
HG01302,PUR
NA18516,YRI
HG03079,MSL
HG01971,PEL
HG03024,GWD
HG02107,ACB
NA19393,LWK
HG00734,PUR
NA19448,LWK
HG01551,CLM
NA19037,LWK
HG02511,ACB
HG01171,PUR
HG02580,ACB
HG03105,ESN
HG03298,ESN
NA19118,YRI
HG03193,ESN
HG01950,PEL
HG03267,ESN
HG01890,ACB
NA19454,LWK
HG01369,CLM
NA19758,MXL
NA21105,GIH
HG01932,PEL
NA20869,GIH
NA19655,MXL
HG03279,ESN
NA21115,GIH
HG01459,CLM
NA21099,GIH
HG03121,ESN
HG01354,CLM
HG03297,ESN
NA19376,LWK
HG02947,ESN
NA21141,GIH
HG00731,PUR
HG02811,GWD
HG01393,PUR
NA18909,YRI
HG02476,ACB
HG03484,MSL
HG01923,PEL
HG02323,ACB
HG03304,ESN
HG03241,GWD
NA19764,MXL
NA20356,ASW
NA18511,YRI
NA19117,YRI
HG02968,ESN
NA21090,GIH
NA18870,YRI
NA21098,GIH
NA20299,ASW
NA19185,YRI
NA19752,MXL
NA20906,GIH
HG02808,GWD
NA19652,MXL
NA21117,GIH
NA19316,LWK
HG01413,PUR
HG01933,PEL
NA19314,LWK
NA19475,LWK
HG01892,PEL
NA19735,MXL
HG01168,PUR
HG01377,CLM
HG02271,PEL
HG02974,ESN
HG02888,GWD
HG03437,MSL
NA20882,GIH
HG01089,PUR
HG02981,ESN
HG01351,CLM
NA19741,MXL
HG03084,MSL
HG03352,ESN
HG02284,ACB
HG02634,GWD
NA19701,ASW
NA19042,LWK
HG03354,ESN
NA19785,MXL
NA20314,ASW
NA19712,ASW
HG00551,PUR
HG02715,GWD
HG02481,ACB
HG02562,GWD
HG02298,PEL
NA19759,MXL
HG02941,ESN
NA19435,LWK
NA19443,LWK
HG03039,GWD
NA19213,YRI
NA21097,GIH
HG01362,CLM
HG01443,CLM
HG02837,GWD
HG01325,PUR
NA19143,YRI
HG03190,ESN
HG03558,MSL
NA20903,GIH
HG01190,PUR
NA21102,GIH
HG01465,CLM
HG02489,ACB
NA19720,MXL
HG02014,ACB
NA19395,LWK
HG01973,PEL
HG01137,CLM
HG02147,PEL
HG01348,CLM
HG02265,PEL
NA19657,MXL
HG02317,ACB
NA20320,ASW
HG03045,GWD
HG03195,ESN
NA19401,LWK
HG03027,GWD
HG02348,PEL
NA19319,LWK
HG01414,PUR
HG01066,PUR
HG03074,MSL
HG01497,CLM
HG03547,MSL
HG01438,CLM
HG03563,MSL
HG01444,CLM
HG03078,MSL
NA20866,GIH
HG03301,ESN
HG02982,GWD
HG01148,CLM
NA19360,LWK
HG01942,PEL
HG01894,ACB
NA19257,YRI
HG01350,CLM
HG03397,MSL
NA19238,YRI
HG01485,CLM
HG01086,PUR
HG01260,CLM
NA18916,YRI
HG03342,ESN
NA19397,LWK
HG02970,ESN
HG02890,GWD
HG01060,PUR
NA21094,GIH
NA19792,MXL
NA19020,LWK
NA19385,LWK
HG02501,ACB
NA18907,YRI
HG02568,GWD
HG02852,GWD
HG01992,PEL
HG03472,MSL
NA19355,LWK
HG02814,GWD
HG02589,GWD
HG01456,CLM
HG01049,PUR
HG03311,ESN
NA19728,MXL
HG01122,CLM
